지점명_표준,종목,입점형태,오픈일,평형 수(전용면적),주차 시설,웨이트브랜드,웨이트기구,유산소_유무,유산소브랜드,트레드밀,GX_유무,GX프로그램,G.X,안마의자_유무,안마의자,스트레칭존_유무,스트레칭존,부대시설_유무,부대시설
 상현점,헬스,신규,2009-02-23,170평,지하 주차장 3시간무료 200대 가능,뉴텍,뉴텍 짐80 포커스,TRUE,렉스코스테어마스터,렉스코 스테어마스터,FALSE,,x,TRUE,o,TRUE,o,TRUE,힐링존
 서면점,헬스,인수,2021-09-01,500평,"주차장 B1층,7층 무료X 유료주차 1시간3000원","DRAX, 뉴텍, 아스날, 테크노짐, 포커스, 호이스트","뉴텍,아스널,호이스트,테크노짐,포커스,디렉스",TRUE,"DRAX, 테크노짐","테크노짐, 디렉스",TRUE,스크린 라이브방송 GX,스크린 라이브방송 GX,FALSE,,TRUE,o,FALSE,X
 선릉점,헬스·필라테스·골프,인수,2021-12-13,500평,지하3~7층 무료주차 2시간 (30분까지 600원요금 추후 10분당 1000원),"뉴텍, 렉스코, 로저스, 짐80, 테크노짐, 호이스트","짐80,뉴텍,호이스트,테크노짐,렉스코,로저스",TRUE,DRAX,DRAX,FALSE,,X,FALSE,X,TRUE,O,TRUE,건식 사우나
 송촌점,헬스·필라테스,인수,2020-10-22,600평,지하 1층 무료주차 제외 외부 2시간 월 2만원  주차가능시간(2시간) 초과시 추가요금 발생,"뉴텍, 테크노짐, 프리모션","테크노짐,뉴텍,프리모션",TRUE,헤라9000,헤라9000,TRUE,"요가, 필라, 줌바, 에어로빅, 점핑, 스피닝","요가,필라,줌바,에어로빅,
점핑,스피닝",FALSE,X,TRUE,O,TRUE,목욕탕/사우나
 수내점,헬스·필라테스,신규,2001-12-21,270평,주차무료,"뉴텍, 라이프, 렉스코, 매트릭스, 아스날, 테크노짐, 해머스트렝스","아스널,뉴텍,라이프,테크노짐,매트릭스,해머,렉스코",TRUE,"매트릭스, 헤라","매트릭스,헤라",TRUE,기구필라테스,기구필라테스,FALSE,X,TRUE,O,FALSE,X
 시청점,헬스·필라테스,인수,2019-10-20,500평,지하주차장 3시간무료(30분당 700원 주차비 발생합니다.)suv불가,"뉴텍, 호이스트","뉴텍,호이스트",TRUE,투비원,투비원,FALSE,,X,FALSE,X,TRUE,O,FALSE,X
 신논현점,헬스·필라테스,인수,2001-04-22,300평,2시간무료,"뉴텍, 라이프, 아틀란티스, 인투, 짐80, 테크노짐","라이프,테크노짐,인투,뉴텍,아틀란티스,짐80",TRUE,"DRAX, 스텍스","디렉스,스텍스",TRUE,기구필라테스,기구필라테스,FALSE,X,FALSE,,FALSE,
 신봉점,헬스·필라테스·골프,인수,2022-07-01,600평,"주차 2시간 무료(최대 3시간까지, 1시간 1000원)","너틸러스, 뉴텍, 싸이벡스, 아스날, 이카리안, 크로스엑시스테크, 프리코, 해머스트렝스","해머스트렝스, 아스널, 사이벡스, 너틸러스, 프리코
크로스엑시스테크, 이카리안, 뉴텍 ",TRUE,"사노트, 인텐자","사노트(런닝머신), 인텐자(스텝밀)",TRUE,"에어로빅, 다이어트댄스, 줌바, 요가","에어로빅, 다이어트댄스, 줌바, 요가",FALSE,X,TRUE,o,TRUE,건식 사우나
 신부점,헬스·필라테스,인수,2018-02-01,500평,"B1층 B2층 최대 3시간 무료/이후 30분 1,000원 부과","너틸러스, 뉴텍, 라이프휘트니스, 아스날, 테크노짐, 프리모션, 해머스트렝스","뉴텍,아스널,해머스트렝스,노틸러스,프리모션,테크노짐,라이프휘트니스",TRUE,"가온싸이클, 애니휘트니스, 테크노짐, 파워플레이트",애니휘트니스/가온싸이클/테크노짐스텝밀/파워플레이트,TRUE,"요가, 필라테스, 스피닝","요가,필라테스,스피닝",FALSE,X,TRUE,O,FALSE,X
 신촌점,헬스·필라테스·골프·수영,인수,2020-10-26,2000평,"건물내 주차장 3시간무료 추가10분당 200원/  버티고 주차장이용(외제차량 및 큰차량) 3시간무료 ,추가 10분당1000원, 발렛비2000원발생","뉴텍, 짐80, 테크노짐, 프라임, 해머스트렝스","해머스트렝스,뉴텍,테크노짐,프라임,짐80",TRUE,"마이마운틴, 매트릭스, 테크노스텝퍼, 테크노싸이클론, 헤라싸이클, 헬스원","헬스원,마이마운틴,헤라 싸이클/ 테크노 스텝퍼/테크노 싸이클론/ 메트릭스 스테어마스터 ",TRUE,"요가, 필라테스, 에어로빅, 아쿠아로빅, 줌바","요가,필라테스,에어로빅,아쿠아로빅,줌바",FALSE,x,TRUE,o,TRUE,"스쿼시.목욕탕,사우나"
 쌍용점,헬스·필라테스,인수(회사내),2016-11-01,200평,B1층 B2층 시간제한없음 ,"뉴텍, 라이프휘트니스, 매드케이지, 테크노짐, 해머스트렝스, 호이스트","해머스트렝스,라이프휘트니스,뉴텍,테크노짐,호이스트,해머스트랭스,매드케이지",TRUE,"스타트랙, 애니휘트니스, 임펄스싸이클, 테크노짐",스타트랙 싸이클/임펄스싸이클/애니휘트니스/테크노짐/테크노짐스탭밀,TRUE,필라테스,필라테스,FALSE,X,TRUE,O,FALSE,X
 여의도역점,헬스·필라테스·골프,인수,,500평,"한국노총 지하 (3시간 무료),초과시 10분 500원","뉴텍, 싸이벡스, 아스날, 테크노짐, 프라임, 해머스트렝스","아스널,헤머,사이벡스,테크노짐,프라임,뉴텍",TRUE,"stex, 싸이벡스","사이벡스 , stex",FALSE,,x,FALSE,x,TRUE,o,FALSE,x
 여의도점,헬스·필라테스,인수,2019-12-24,250평,"지상,지하주차장 2시간무료 (최초 입차시간 기준 30분에 2000원,그 이후 10분당 1000원)","뉴텍, 라이프휘트니스, 아스날, 테크노짐, 프라임, 프리모션, 해머스트렝스","뉴텍, 라이프휘트니스, 해머스트랭스,  프라임, 프리모션, 테크노짐, 아스날스트랭스",TRUE,"스테어마스터, 헤라트레드밀","헤라 트레드밀, 스테어마스터 ",FALSE,,x,TRUE,o,TRUE,o,FALSE,x
 연산점,헬스·필라테스,인수,2019-12-16,220평,목화주차장 2시간 무료  초과시10분당 1000원,뉴텍,뉴텍 호이스트 ,TRUE,"REDON, 헬스원싸이클","REDON,헬스원싸이클",FALSE,,X,FALSE,x,FALSE,0,FALSE,x
 영등포점,헬스·필라테스,신규,2019-07-01,300평,에이스하이테크 전용주차장 18시 이전 2시간/18시 이후 5시간 제공 /30분당 1000원,"너틸러스, 뉴텍, 다이나벡, 로저스, 싸이벡스, 짐레코, 테크노짐, 프라임, 프리모션, 해머스트렝스","뉴텍,해머,테크노짐,너틸러스,프라임,싸이벡스,다이나벡,로저스,짐레코,프리모션",TRUE,"싸이백스아크트레이너, 애니휘트니스트레드밀, 테크노짐, 헬스원싸이클","애니휘트니스 트레드밀 ,테크노짐스텝밀 ,헬스원싸이클, 싸이백스아크트레이너",FALSE,,x,TRUE,o,TRUE,o,FALSE,x
